cluster,size,seed,annotation_preliminary,type_info,tree_name,annotation
90,1,TARA_067.SAMEA2620979.5.0.22-0.45_599637_11,IV-GOS_Global,,IV-GOS_Global.66,IV-GOS
91,2,VDD88872.1,III,,III.39,III
92,5,MRR07449.1,Unknown,,Unknown.542,IV-NG3
93,139,AQL58799.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 106, Unknown: 33",I-Eukaryotes/Unknown.173,I-CD1
94,1,TMG81632.1,IV-DeepYkr,,IV-DeepYkr.134,IV-Deep-Ykr
95,17,WP_164725665.1,IV-DeepYkr,,IV-DeepYkr.259,IV-Deep-Ykr
96,203,ABL59874.2,I-Eukaryotes/Unknown,"I-Eukaryotes: 194, Unknown: 9",I-Eukaryotes/Unknown.160,I-CD1
97,2,WP_025429501.1,IV-DeepYkr,,IV-DeepYkr.128,IV-Deep-Ykr
98,3,NMC88491.1,Unknown,,Unknown.344,III
99,1,QEQ56236.1,I-Eukaryotes,,I-Eukaryotes.55,I-CD1
100,1,OYT59766.1,Unknown,,Unknown.434,III
101,1,WP_148022396.1,Unknown,,Unknown.750,IV-NG2
102,5,VDD89243.1,III,,III.158,III
103,1,HGU03034.1,Unknown,,Unknown.729,IV-Unknown
104,50,AER38514.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 41, Unknown: 9",I-Eukaryotes/Unknown.189,I-CD2
105,30,AAT84279.1,I-A/Unknown,"I-A: 27, Unknown: 3",I-A/Unknown.9,I-A
106,32,APG31632.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 25, Unknown: 7",I-Eukaryotes/Unknown.190,I-CD2
107,1,VDD89244.1,III,,III.195,III
108,2,TARA_152.SAMEA2623907.800.0.22-3_2673518_6,IV-Non-photo,,IV-Non-photo.833,IV-NonPhoto
109,24,ALP32073.1,II/Unknown,"Unknown: 23, II: 1",II/Unknown.12,II
110,4,HIJ34913.1,Unknown,,Unknown.990,II
111,2,BBD13570.1,I-Eukaryotes,,I-Eukaryotes.47,I-CD1
112,2,HEC95508.1,Unknown,,Unknown.459,Unknown
113,2,RBG_16_Anaeromyxobacter_69_14_RBG_16_scaffold_568_150,I-CD,,I-CD.2,I-CD2
114,9,WP_124452256.1,I-CD,,I-CD.130,I-CD2
115,15,WP_144343955.1,I-CD,,I-CD.123,I-CD2
116,10,WP_138398280.1,I-CD,,I-CD.29,I-CD2
117,29,WP_054539234.1,I-CD/Unknown,"I-CD: 28, Unknown: 1",I-CD/Unknown.1,I-CD2
118,100,TARA_068.SAMEA2621020.5.0.22-0.45_1665551_2,Ambiguous,"I-CD: 67, I-Eukaryotes: 33",Ambiguous.33,I-CD2
119,1,TARA_138.SAMEA2623390.450.0.22-3_1579609_5,Unknown,,Unknown.1051,II-III
120,1,PIU22523.1,Unknown,,Unknown.633,II-III
121,1,RME84037.1,I-New,,I-New.6,I-NG1
122,587,YP_008080512.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 466, Unknown: 121",I-Eukaryotes/Unknown.76,I-CD1
123,58,WP_040778718.1,I-E,,I-E.34,I-CD2
124,37,WP_142653310.1,I-B/Unknown,"I-B: 36, Unknown: 1",I-B/Unknown.2,I-B
125,1,ASD37125.1,Unknown,,Unknown.1000,I-CD1
126,82,WP_015221420.1,I-B,,I-B.8,I-B
127,489,AAD37996.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 408, Unknown: 81",I-Eukaryotes/Unknown.97,I-CD2
128,4,QJX14030.1,I-Eukaryotes/Unknown,"Unknown: 3, I-Eukaryotes: 1",I-Eukaryotes/Unknown.89,I-CD1
129,15,TARA_102.SAMEA2622197.480.0.22-3_1360909_4,Unknown,,Unknown.1049,II
130,1,PKQ23435.1,Unknown,,Unknown.884,II
131,51,AQL58754.1,Ambiguous,"I-Eukaryotes: 41, Unknown: 9, I-B: 1",Ambiguous.14,I-CD1
132,1,NLA41931.1,IV-Ykr-2,,IV-Ykr-2.166,IV-Ykr-2
133,7,VDD89233.1,II-III/Unknown,"Unknown: 6, II-III: 1",II-III/Unknown.4,II-III
134,1,NLG30071.1,IV-Ykr-2,,IV-Ykr-2.173,IV-Ykr-2
135,1,WP_119086582.1,IV-Ykr-2,,IV-Ykr-2.24,IV-Ykr-2
136,8,1YKW_A,IV-Photo,,IV-Photo.33,IV-Photo
137,2,WP_138268676.1,IV-Ykr-2,,IV-Ykr-2.52,IV-Ykr-2
138,6,WP_131463480.1,IV-NG2,,IV-NG2.5,IV-NG2
139,5,NTU93199.1,IV-Photo,,IV-Photo.62,IV-Photo
140,1,AAF97654.1,I-Eukaryotes,,I-Eukaryotes.50,I-CD1
141,1,HIH40633.1,IV-Ykr-2,,IV-Ykr-2.37,IV-Ykr-2
142,5,MBA2512903.1,I-F,,I-F.10,I-CD2
143,1,NYZ77943.1,Unknown,,Unknown.192,III
144,9,WP_145863085.1,IV-Non-photo,,IV-Non-photo.615,IV-NonPhoto
145,1,PWB56828.1,Unknown,,Unknown.57,III
146,16,WP_176536369.1,IV-Non-photo,,IV-Non-photo.216,IV-NonPhoto
147,6,WP_048132138.1,Unknown,,Unknown.285,III
148,65,ABV21910.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 47, Unknown: 18",I-Eukaryotes/Unknown.96,I-CD2
149,1,WP_129221910.1,IV-Non-photo,,IV-Non-photo.518,IV-NonPhoto
150,28,WP_076814202.1,IV-Non-photo,,IV-Non-photo.475,IV-NonPhoto
151,38,WP_042581442.1,IV-Non-photo,,IV-Non-photo.306,IV-NonPhoto
152,3,WP_054208324.1,IV-Non-photo,,IV-Non-photo.515,IV-NonPhoto
153,3,NHV45115.1,Unknown,,Unknown.514,IV-NG3
154,14,TARA_041.SAMEA2620194.5.0.22-1.6_842022_6,IV-Non-photo/Unknown,"IV-Non-photo: 13, Unknown: 1",IV-Non-photo/Unknown.8,IV-NonPhoto
155,4,WP_085641873.1,IV-Non-photo,,IV-Non-photo.474,IV-NonPhoto
156,2,WP_174703323.1,IV-Non-photo,,IV-Non-photo.31,IV-NonPhoto
157,1,WP_089422912.1,IV-Non-photo,,IV-Non-photo.219,IV-NonPhoto
158,30,WP_181167183.1,IV-Non-photo,,IV-Non-photo.392,IV-NonPhoto
159,2,TARA_094.SAMEA2621839.5.0.22-3_2219249_4,IV-GOS_Global,,IV-GOS_Global.25,IV-GOS
160,9,WP_064243141.1,IV-Non-photo,,IV-Non-photo.551,IV-NonPhoto
161,2,TARA_096.SAMEA2621859.5.0.22-3_2526709_29,IV-GOS_Global,,IV-GOS_Global.45,IV-GOS
162,2,WP_026874709.1,IV-NG2,,IV-NG2.48,IV-NG2
163,2,WP_143417288.1,IV-Non-photo,,IV-Non-photo.227,IV-NonPhoto
164,21,TARA_041.SAMEA2620194.5.0.22-1.6_604264_2,IV-Non-photo,,IV-Non-photo.824,IV-NonPhoto
165,91,WP_140895569.1,IV-Non-photo,,IV-Non-photo.664,IV-NonPhoto
166,2,WP_176855640.1,IV-Non-photo,,IV-Non-photo.46,IV-NonPhoto
167,12,WP_000014180.1,IV-Ykr,,IV-Ykr.8,IV-Ykr
168,4,OGJ12682.1,III/Unknown,"Unknown: 3, III: 1",III/Unknown.10,III
169,29,WP_151160962.1,Unknown,,Unknown.239,III
170,11,WP_087631029.1,IV-Non-photo,,IV-Non-photo.116,IV-NonPhoto
171,2,OZA11585.1,IV-Non-photo,,IV-Non-photo.738,IV-NonPhoto
172,4,AAR30281.1,I-Eukaryotes,,I-Eukaryotes.26,I-CD2
173,1,WP_041154068.1,IV-Non-photo,,IV-Non-photo.652,IV-NonPhoto
174,7,NBX05753.1,I-CD,,I-CD.174,I-CD2
175,14,WP_155086062.1,IV-DeepYkr,,IV-DeepYkr.282,IV-Deep-Ykr
176,1,TARA_048.SAMEA2620404.5.0.22-1.6_814953_5,IV-GOS_Global,,IV-GOS_Global.64,IV-GOS
177,4,WP_014962207.1,IV-Photo,,IV-Photo.112,IV-Photo
178,2,TARA_124.SAMEA2622763.5.0.1-0.22_24399_5,IV-GOS_Global,,IV-GOS_Global.48,IV-GOS
179,2,AHF06788.1,IV-DeepYkr,,IV-DeepYkr.56,IV-Deep-Ykr
180,1,WP_062421436.1,IV-DeepYkr,,IV-DeepYkr.58,IV-Deep-Ykr
181,2,BAD64310_Bacillus_clausii_KSM_K16_IV_YkrW,IV-Ykr,,IV-Ykr.33,IV-Ykr
182,1,WP_139082424.1,IV-DeepYkr,,IV-DeepYkr.394,IV-Deep-Ykr
183,1,WP_091642286.1,IV-DeepYkr,,IV-DeepYkr.404,IV-Deep-Ykr
184,3,MSV91752.1,IV-DeepYkr,,IV-DeepYkr.340,IV-Deep-Ykr
185,6,PLM3_1_170_b1_sep16_scaffold_118338_1|PLM3_1_170cm_b1_sep2016_UNK|PLM3_1_170cm_b1_sep2016,I-Banda,,I-Banda.11,I-Banda
186,2,HAI70057.1,Unknown,,Unknown.993,II
187,9,TARA_109.SAMEA2622316.5.0.22-3_2079919_8,IV-GOS_Global,,IV-GOS_Global.115,IV-GOS
188,1,gwc1_8065_5_partial_keepII_III,Unknown,,Unknown.1035,II-III
189,14,RIFCSPHIGHO2_01_Gammaproteobacteria_60_12_rifcsphigho2_01_sub10_scaffold_1379_9,I-CD,,I-CD.3,I-CD2
190,2,WP_044434920.1,I-CD,,I-CD.176,I-CD2
191,1,HEJ75618.1,I-Unclassified,,I-Unclassified.20,I-CD2
192,2,TLY59778.1,I-CD,,I-CD.128,I-CD2
193,27,WP_169675359.1,I-CD,,I-CD.31,I-CD2
194,106,QOE89010.1,Ambiguous,"I-CD: 76, I-Eukaryotes: 27, Unknown: 3",Ambiguous.13,I-CD2
195,20,WP_108973404.1,I-CD,,I-CD.47,I-CD2
196,25,WP_116371219.1,I-CD,,I-CD.54,I-CD2
197,1,MSO89213.1,I-CD,,I-CD.121,I-CD2
198,19,TARA_030.SAMEA2591108.5.0.22-1.6_1345047_2,I-CD/Unknown,"I-CD: 18, Unknown: 1",I-CD/Unknown.11,I-CD2
199,13,EXI76444.1,Unknown,,Unknown.939,II
200,29,WP_063063279.1,I-E,,I-E.16,I-CD2
201,157,WP_104545466.1,I-B,,I-B.3,I-B
202,10,WP_107355958.1,I-A,,I-A.26,I-A
203,9,NYT20054.1,Unknown,,Unknown.696,II-III
204,24,TAJ81118.1,I-A/Unknown,"I-A: 23, Unknown: 1",I-A/Unknown.4,I-A
205,109,WP_028488895.1,I-A/Unknown,"I-A: 108, Unknown: 1",I-A/Unknown.5,I-A
206,9,PCJ73328.1,Unknown,,Unknown.762,II
207,28,WP_185979137.1,I-A,,I-A.74,I-A
208,1,VDD88657.1,III,,III.222,III
209,2,WP_093428253.1,I-A,,I-A.58,I-A
210,1,WP_123103096.1,Unknown,,Unknown.798,II
211,2,TARA_039.SAMEA2620106.270.0.1-0.22_7976_4,Unknown,,Unknown.1086,III
212,17,TARA_076.SAMEA2621242.800.0.45-0.8_1500856_8,Unknown,,Unknown.1091,IV-NG3
213,12,NOZ37294.1,Unknown,,Unknown.809,II
214,2,NAZ27577.1,Unknown,,Unknown.302,III
215,1,NLO21777.1,IV-Ykr-2,,IV-Ykr-2.138,IV-Ykr-2
216,1,HEY74674.1,IV-Ykr-2,,IV-Ykr-2.68,IV-Ykr-2
217,29,AAO14487.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 18, Unknown: 11",I-Eukaryotes/Unknown.95,I-CD2
218,4,NTU44655.1,IV-Photo,,IV-Photo.54,IV-Photo
219,1,VDD88882.1,III,,III.47,III
220,2,VDD89187.1,III,,III.51,III
221,14,WP_053859447.1,IV-Non-photo,,IV-Non-photo.487,IV-NonPhoto
222,1,WP_091911238.1,IV-Non-photo,,IV-Non-photo.388,IV-NonPhoto
223,19,WP_073428745.1,IV-Non-photo/Unknown,"IV-Non-photo: 18, Unknown: 1",IV-Non-photo/Unknown.6,IV-NonPhoto
224,3,WP_050469458.1,IV-Non-photo,,IV-Non-photo.384,IV-NonPhoto
225,1,KQC10437.1,Unknown,,Unknown.169,III
226,2,MBA4404753.1,III/Unknown,"Unknown: 1, III: 1",III/Unknown.5,III
227,2,RWG04175.1,IV-Non-photo,,IV-Non-photo.546,IV-NonPhoto
228,1,NPV62580.1,Unknown,,Unknown.253,III
229,3,MRG76228.1,Unknown,,Unknown.296,III
230,3,WP_067326900.1,IV-Non-photo,,IV-Non-photo.151,IV-NonPhoto
231,1,HFZ05501.1,Unknown,,Unknown.228,III
232,5,WP_191124669.1,IV-Non-photo,,IV-Non-photo.372,IV-NonPhoto
233,22,WP_041813379.1,IV-Non-photo,,IV-Non-photo.460,IV-NonPhoto
234,5,WP_184168458.1,IV-Non-photo,,IV-Non-photo.108,IV-NonPhoto
235,5,YP003178578_Halomicrobium_mukohataei_DSM_12286,Unknown,,Unknown.1026,III
236,7,WP_056686873.1,IV-Non-photo,,IV-Non-photo.225,IV-NonPhoto
237,1,TVR70006.1,IV-Non-photo,,IV-Non-photo.98,IV-NonPhoto
238,61,CAJ19663.1,Ambiguous,"I-Eukaryotes: 55, Unknown: 5, I-CD: 1",Ambiguous.11,I-CD2
239,1,NND05845.1,IV-Non-photo,,IV-Non-photo.452,IV-NonPhoto
240,1,WP_084090517.1,IV-Photo,,IV-Photo.118,IV-Photo
241,11,WP_160870463.1,IV-Non-photo,,IV-Non-photo.725,IV-NonPhoto
242,8,WP_067223005.1,IV-Non-photo,,IV-Non-photo.708,IV-NonPhoto
243,2,WP_137130022.1,IV-Non-photo,,IV-Non-photo.772,IV-NonPhoto
244,2,WP_041112594.1,IV-Non-photo,,IV-Non-photo.264,IV-NonPhoto
245,5,MBS14778.1,IV-Non-photo,,IV-Non-photo.278,IV-NonPhoto
246,1,HGO73122.1,IV-Non-photo,,IV-Non-photo.380,IV-NonPhoto
247,20,WP_180670591.1,IV-Non-photo,,IV-Non-photo.48,IV-NonPhoto
248,14,WP_180907573.1,IV-Non-photo,,IV-Non-photo.559,IV-NonPhoto
249,12,WP_128194897.1,IV-Non-photo,,IV-Non-photo.558,IV-NonPhoto
250,4,HGU76250.1,Unknown,,Unknown.137,III
251,15,MBF1747920.1,IV-DeepYkr,,IV-DeepYkr.285,IV-Deep-Ykr
252,1,TARA_110.SAMEA2622402.50.0.22-3_2354052_7,IV-GOS_Global,,IV-GOS_Global.65,IV-GOS
253,17,TARA_031.SAMEA2619815.5.0-0.22_3691_3,IV-GOS_Global,,IV-GOS_Global.70,IV-GOS
254,3,WP_119208539.1,IV-DeepYkr,,IV-DeepYkr.302,IV-Deep-Ykr
255,3,WP_038115757.1,IV-DeepYkr,,IV-DeepYkr.274,IV-Deep-Ykr
256,1,WP_127134780.1,IV-DeepYkr,,IV-DeepYkr.380,IV-Deep-Ykr
257,2,MBD8975199.1,IV-DeepYkr,,IV-DeepYkr.207,IV-Deep-Ykr
258,1,PYO62011.1,IV-DeepYkr,,IV-DeepYkr.89,IV-Deep-Ykr
259,1,VDD88811.1,III,,III.126,III
260,2,AIF31536.1,I-A,,I-A.85,I-A
261,13,QCT05616.1,I-Eukaryotes,,I-Eukaryotes.70,I-CD2
262,1,VDD89152.1,III,,III.235,III
263,7,VDD88694.1,III,,III.191,III
264,1,ADJ38508.1,Unknown,,Unknown.985,II
265,16,WP_062917843.1,I-CD,,I-CD.155,I-CD2
266,9,WP_007422833.1,I-CD,,I-CD.144,I-CD2
267,3,MBD3763266.1,I-CD,,I-CD.30,I-CD2
268,1,HHV22167.1,I-E,,I-E.26,I-CD2
269,90,IC_Bradyrhizobium_japonicum_USDA_110,I-CD,,I-CD.184,I-CD2
270,64,WP_013678237.1,I-E,,I-E.46,I-CD2
271,30,TARA_137.SAMEA2623275.5.0.22-3_1000826_2,Ambiguous,"I-B: 28, Unknown: 1, I-Eukaryotes: 1",Ambiguous.28,I-CD1
272,77,YP_009862972.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 73, Unknown: 4",I-Eukaryotes/Unknown.141,I-CD1
273,1,ABI17959.1,I-Eukaryotes,,I-Eukaryotes.29,I-CD1
274,37,NNJ93999.1,I-A/Unknown,"I-A: 36, Unknown: 1",I-A/Unknown.6,I-A
275,11,TARA_109.SAMEA2622362.380.0.22-3_387614_2,I-A,,I-A.107,I-A
276,3,HHS94388.1,Unknown,,Unknown.877,II
277,1,RTZ60953.1,Unknown,,Unknown.838,II
278,1,PHU19935.1,I-Eukaryotes,,I-Eukaryotes.102,I-CD1
279,5,WP_048058905.1,Unknown,,Unknown.347,III
280,12,WP_167731531.1,Unknown,,Unknown.387,III
281,3,KUJ93020.1,Unknown,,Unknown.383,III
282,2,GWA2_CP_45_12_gwa2_scaffold_895_11,IV-Photo,,IV-Photo.2,IV-Photo
283,510,AEU04920.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 381, Unknown: 129",I-Eukaryotes/Unknown.121,I-CD1
284,1,RBG_13_Chloroflexi_RBG9_66_10_RBG_13_scaffold_17084_3,Unknown,,Unknown.32,IV-Ykr-2
285,9,VDD88834.1,IV-Photo,,IV-Photo.111,IV-Photo
286,1,MBD3389749.1,Unknown,,Unknown.71,III
287,368,AAF97640.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 315, Unknown: 53",I-Eukaryotes/Unknown.99,I-CD1
288,110,AIC32232.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 93, Unknown: 17",I-Eukaryotes/Unknown.48,I-CD2
289,16,ACN71306.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 13, Unknown: 3",I-Eukaryotes/Unknown.38,I-CD1
290,16,WP_048123280.1,Unknown,,Unknown.273,III
291,13,WP_018328846.1,IV-Non-photo,,IV-Non-photo.462,IV-NonPhoto
292,3,WP_062011801.1,IV-Non-photo,,IV-Non-photo.367,IV-NonPhoto
293,3,WP_189381785.1,IV-Non-photo,,IV-Non-photo.200,IV-NonPhoto
294,1,TFG00367.1,Unknown,,Unknown.334,Unknown
295,8,AAB99239_Methanocaldococcus_jannaschii_DSM_2661_III,Unknown,,Unknown.1023,III
296,3,WP_145642715.1,IV-Non-photo,,IV-Non-photo.769,IV-NonPhoto
297,1,WP_062228053.1,IV-Non-photo,,IV-Non-photo.714,IV-NonPhoto
298,1,WP_067291697.1,IV-Non-photo,,IV-Non-photo.142,IV-NonPhoto
299,5,OJV68446.1,IV-Non-photo,,IV-Non-photo.173,IV-NonPhoto
300,65,WP_125302632.1,IV-Non-photo,,IV-Non-photo.426,IV-NonPhoto
301,11,WP_057225901.1,IV-Non-photo,,IV-Non-photo.799,IV-NonPhoto
302,1,NLI62282.1,Unknown,,Unknown.562,IV-NG3
303,2,WP_020449584.1,Unknown,,Unknown.599,IV-NG3
304,4,WP_034834381.1,IV-Non-photo,,IV-Non-photo.696,IV-NonPhoto
305,4,WP_136590588.1,Unknown,,Unknown.325,III
306,1,WP_160906238.1,IV-Non-photo,,IV-Non-photo.324,IV-NonPhoto
307,7,WP_144969320.1,IV-Non-photo,,IV-Non-photo.121,IV-NonPhoto
308,2,RLJ05004.1,Unknown,,Unknown.289,III
309,2,VDS11145.1,III/Unknown,"Unknown: 1, III: 1",III/Unknown.14,III
310,1,HFT98502.1,Unknown,,Unknown.132,III
311,570,ACG68900.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 487, Unknown: 83",I-Eukaryotes/Unknown.63,I-CD1
312,1,WP_147704887.1,IV-DeepYkr,,IV-DeepYkr.466,IV-Deep-Ykr
