cluster,size,seed,type,type_info,tree_name
48,2881,QBK17190.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 2480, Unknown: 401",I-Eukaryotes/Unknown.119
49,7,WP_088865093.1,Unknown,,Unknown.424
50,3,WP_167885756.1,Unknown,,Unknown.410
51,1,TFH33364.1,IV-Ykr-2,,IV-Ykr-2.147
52,1,VDD89155.1,III,,III.52
53,2,NLM88879.1,IV-Ykr-2,,IV-Ykr-2.49
54,1,cg1_0.2_scaffold_2874_c_10,IV-Ykr-2,,IV-Ykr-2.10
55,1,WP_011661875.1,IV-Photo,,IV-Photo.89
56,5,NHW23919.1,Unknown,,Unknown.419
57,4,WP_092129866.1,IV-Non-photo,,IV-Non-photo.404
58,171,QID57536.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 166, Unknown: 5",I-Eukaryotes/Unknown.41
59,25,WP_056562289.1,IV-Non-photo,,IV-Non-photo.396
60,31,WP_063588917.1,IV-Non-photo/Unknown,"IV-Non-photo: 30, Unknown: 1",IV-Non-photo/Unknown.5
61,1,VVB56857.1,Unknown,,Unknown.452
62,1,WP_188907706.1,IV-Non-photo,,IV-Non-photo.775
63,3,WP_094048765.1,IV-NG1,,IV-NG1.64
64,10,WP_045299764.1,IV-NG2,,IV-NG2.38
65,1,WP_110032519.1,IV-Non-photo,,IV-Non-photo.645
66,11,WP_144811339.1,IV-Non-photo,,IV-Non-photo.93
67,1,NYT80693.1,IV-Non-photo,,IV-Non-photo.113
68,1,WP_149871945.1,IV-NG1,,IV-NG1.8
69,1,WP_161349777.1,IV-Non-photo,,IV-Non-photo.330
70,1,WP_150864205.1,IV-Non-photo,,IV-Non-photo.259
71,1,WP_188530592.1,IV-NG1,,IV-NG1.26
72,2,WP_130495683.1,IV-NG2,,IV-NG2.39
73,488,AIS84188.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 432, Unknown: 56",I-Eukaryotes/Unknown.22
74,3,WP_028522251.1,IV-Non-photo,,IV-Non-photo.443
75,4,WP_076337452.1,IV-NG1,,IV-NG1.19
76,211,WP_183781633.1,IV-Non-photo,,IV-Non-photo.621
77,63,ATG33831.1,Ambiguous,"I-Eukaryotes: 56, Unknown: 6, I-CD: 1",Ambiguous.20
78,4,WP_190995843.1,IV-Non-photo,,IV-Non-photo.341
79,114,RUU92149.1,IV-Non-photo,,IV-Non-photo.596
80,273,ABS81505.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 239, Unknown: 34",I-Eukaryotes/Unknown.19
81,3,WP_102651751.1,IV-Non-photo,,IV-Non-photo.578
82,1,WP_071506798.1,IV-Non-photo,,IV-Non-photo.292
83,21,WP_061167361.1,IV-Non-photo,,IV-Non-photo.649
84,1,WP_146784811.1,IV-Non-photo,,IV-Non-photo.334
85,6,WP_194885832.1,IV-Non-photo,,IV-Non-photo.685
86,4,HGE30803.1,Unknown,,Unknown.139
87,1,HER54410.1,Unknown,,Unknown.172
88,50,BAJ40206.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 38, Unknown: 12",I-Eukaryotes/Unknown.188
89,30,AAS13410.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 26, Unknown: 4",I-Eukaryotes/Unknown.182
90,1,TARA_067.SAMEA2620979.5.0.22-0.45_599637_11,IV-GOS_Global,,IV-GOS_Global.66
91,2,VDD88872.1,III,,III.39
92,5,MRR07449.1,Unknown,,Unknown.542
93,139,AQL58799.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 106, Unknown: 33",I-Eukaryotes/Unknown.173
94,1,TMG81632.1,IV-DeepYkr,,IV-DeepYkr.134
95,17,WP_164725665.1,IV-DeepYkr,,IV-DeepYkr.259
96,203,ABL59874.2,I-Eukaryotes/Unknown,"I-Eukaryotes: 194, Unknown: 9",I-Eukaryotes/Unknown.160
97,2,WP_025429501.1,IV-DeepYkr,,IV-DeepYkr.128
98,3,NMC88491.1,Unknown,,Unknown.344
99,1,QEQ56236.1,I-Eukaryotes,,I-Eukaryotes.55
100,1,OYT59766.1,Unknown,,Unknown.434
101,1,WP_148022396.1,Unknown,,Unknown.750
102,5,VDD89243.1,III,,III.158
103,1,HGU03034.1,Unknown,,Unknown.729
104,50,AER38514.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 41, Unknown: 9",I-Eukaryotes/Unknown.189
105,30,AAT84279.1,I-A/Unknown,"I-A: 27, Unknown: 3",I-A/Unknown.9
106,32,APG31632.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 25, Unknown: 7",I-Eukaryotes/Unknown.190
107,1,VDD89244.1,III,,III.195
108,2,TARA_152.SAMEA2623907.800.0.22-3_2673518_6,IV-Non-photo,,IV-Non-photo.833
109,24,ALP32073.1,II/Unknown,"Unknown: 23, II: 1",II/Unknown.12
110,4,HIJ34913.1,Unknown,,Unknown.990
111,2,BBD13570.1,I-Eukaryotes,,I-Eukaryotes.47
112,2,HEC95508.1,Unknown,,Unknown.459
113,2,RBG_16_Anaeromyxobacter_69_14_RBG_16_scaffold_568_150,I-CD,,I-CD.2
114,9,WP_124452256.1,I-CD,,I-CD.130
115,15,WP_144343955.1,I-CD,,I-CD.123
116,10,WP_138398280.1,I-CD,,I-CD.29
117,29,WP_054539234.1,I-CD/Unknown,"I-CD: 28, Unknown: 1",I-CD/Unknown.1
118,100,TARA_068.SAMEA2621020.5.0.22-0.45_1665551_2,Ambiguous,"I-CD: 67, I-Eukaryotes: 33",Ambiguous.33
119,1,TARA_138.SAMEA2623390.450.0.22-3_1579609_5,Unknown,,Unknown.1051
120,1,PIU22523.1,Unknown,,Unknown.633
121,1,RME84037.1,I-New,,I-New.6
122,587,YP_008080512.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 466, Unknown: 121",I-Eukaryotes/Unknown.76
123,58,WP_040778718.1,I-E,,I-E.34
124,37,WP_142653310.1,I-B/Unknown,"I-B: 36, Unknown: 1",I-B/Unknown.2
125,1,ASD37125.1,Unknown,,Unknown.1000
126,82,WP_015221420.1,I-B,,I-B.8
127,489,AAD37996.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 408, Unknown: 81",I-Eukaryotes/Unknown.97
128,4,QJX14030.1,I-Eukaryotes/Unknown,"Unknown: 3, I-Eukaryotes: 1",I-Eukaryotes/Unknown.89
129,15,TARA_102.SAMEA2622197.480.0.22-3_1360909_4,Unknown,,Unknown.1049
130,1,PKQ23435.1,Unknown,,Unknown.884
131,51,AQL58754.1,Ambiguous,"I-Eukaryotes: 41, Unknown: 9, I-B: 1",Ambiguous.14
132,1,NLA41931.1,IV-Ykr-2,,IV-Ykr-2.166
133,7,VDD89233.1,II-III/Unknown,"Unknown: 6, II-III: 1",II-III/Unknown.4
134,1,NLG30071.1,IV-Ykr-2,,IV-Ykr-2.173
135,1,WP_119086582.1,IV-Ykr-2,,IV-Ykr-2.24
136,8,1YKW_A,IV-Photo,,IV-Photo.33
137,2,WP_138268676.1,IV-Ykr-2,,IV-Ykr-2.52
138,6,WP_131463480.1,IV-NG2,,IV-NG2.5
139,5,NTU93199.1,IV-Photo,,IV-Photo.62
140,1,AAF97654.1,I-Eukaryotes,,I-Eukaryotes.50
141,1,HIH40633.1,IV-Ykr-2,,IV-Ykr-2.37
142,5,MBA2512903.1,I-F,,I-F.10
143,1,NYZ77943.1,Unknown,,Unknown.192
144,9,WP_145863085.1,IV-Non-photo,,IV-Non-photo.615
145,1,PWB56828.1,Unknown,,Unknown.57
146,16,WP_176536369.1,IV-Non-photo,,IV-Non-photo.216
147,6,WP_048132138.1,Unknown,,Unknown.285
148,65,ABV21910.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 47, Unknown: 18",I-Eukaryotes/Unknown.96
149,1,WP_129221910.1,IV-Non-photo,,IV-Non-photo.518
150,28,WP_076814202.1,IV-Non-photo,,IV-Non-photo.475
151,38,WP_042581442.1,IV-Non-photo,,IV-Non-photo.306
152,3,WP_054208324.1,IV-Non-photo,,IV-Non-photo.515
153,3,NHV45115.1,Unknown,,Unknown.514
154,14,TARA_041.SAMEA2620194.5.0.22-1.6_842022_6,IV-Non-photo/Unknown,"IV-Non-photo: 13, Unknown: 1",IV-Non-photo/Unknown.8
155,4,WP_085641873.1,IV-Non-photo,,IV-Non-photo.474
156,2,WP_174703323.1,IV-Non-photo,,IV-Non-photo.31
157,1,WP_089422912.1,IV-Non-photo,,IV-Non-photo.219
158,30,WP_181167183.1,IV-Non-photo,,IV-Non-photo.392
159,2,TARA_094.SAMEA2621839.5.0.22-3_2219249_4,IV-GOS_Global,,IV-GOS_Global.25
160,9,WP_064243141.1,IV-Non-photo,,IV-Non-photo.551
161,2,TARA_096.SAMEA2621859.5.0.22-3_2526709_29,IV-GOS_Global,,IV-GOS_Global.45
162,2,WP_026874709.1,IV-NG2,,IV-NG2.48
163,2,WP_143417288.1,IV-Non-photo,,IV-Non-photo.227
164,21,TARA_041.SAMEA2620194.5.0.22-1.6_604264_2,IV-Non-photo,,IV-Non-photo.824
165,91,WP_140895569.1,IV-Non-photo,,IV-Non-photo.664
166,2,WP_176855640.1,IV-Non-photo,,IV-Non-photo.46
167,12,WP_000014180.1,IV-Ykr,,IV-Ykr.8
168,4,OGJ12682.1,III/Unknown,"Unknown: 3, III: 1",III/Unknown.10
169,29,WP_151160962.1,Unknown,,Unknown.239
170,11,WP_087631029.1,IV-Non-photo,,IV-Non-photo.116
171,2,OZA11585.1,IV-Non-photo,,IV-Non-photo.738
172,4,AAR30281.1,I-Eukaryotes,,I-Eukaryotes.26
173,1,WP_041154068.1,IV-Non-photo,,IV-Non-photo.652
174,7,NBX05753.1,I-CD,,I-CD.174
175,14,WP_155086062.1,IV-DeepYkr,,IV-DeepYkr.282
176,1,TARA_048.SAMEA2620404.5.0.22-1.6_814953_5,IV-GOS_Global,,IV-GOS_Global.64
177,4,WP_014962207.1,IV-Photo,,IV-Photo.112
178,2,TARA_124.SAMEA2622763.5.0.1-0.22_24399_5,IV-GOS_Global,,IV-GOS_Global.48
179,2,AHF06788.1,IV-DeepYkr,,IV-DeepYkr.56
180,1,WP_062421436.1,IV-DeepYkr,,IV-DeepYkr.58
181,2,BAD64310_Bacillus_clausii_KSM_K16_IV_YkrW,IV-Ykr,,IV-Ykr.33
182,1,WP_139082424.1,IV-DeepYkr,,IV-DeepYkr.394
183,1,WP_091642286.1,IV-DeepYkr,,IV-DeepYkr.404
184,3,MSV91752.1,IV-DeepYkr,,IV-DeepYkr.340
185,6,PLM3_1_170_b1_sep16_scaffold_118338_1|PLM3_1_170cm_b1_sep2016_UNK|PLM3_1_170cm_b1_sep2016,I-Banda,,I-Banda.11
186,2,HAI70057.1,Unknown,,Unknown.993
187,9,TARA_109.SAMEA2622316.5.0.22-3_2079919_8,IV-GOS_Global,,IV-GOS_Global.115
188,1,gwc1_8065_5_partial_keepII_III,Unknown,,Unknown.1035
189,14,RIFCSPHIGHO2_01_Gammaproteobacteria_60_12_rifcsphigho2_01_sub10_scaffold_1379_9,I-CD,,I-CD.3
190,2,WP_044434920.1,I-CD,,I-CD.176
191,1,HEJ75618.1,I-Unclassified,,I-Unclassified.20
192,2,TLY59778.1,I-CD,,I-CD.128
193,27,WP_169675359.1,I-CD,,I-CD.31
194,106,QOE89010.1,Ambiguous,"I-CD: 76, I-Eukaryotes: 27, Unknown: 3",Ambiguous.13
195,20,WP_108973404.1,I-CD,,I-CD.47
196,25,WP_116371219.1,I-CD,,I-CD.54
197,1,MSO89213.1,I-CD,,I-CD.121
198,19,TARA_030.SAMEA2591108.5.0.22-1.6_1345047_2,I-CD/Unknown,"I-CD: 18, Unknown: 1",I-CD/Unknown.11
199,13,EXI76444.1,Unknown,,Unknown.939
200,29,WP_063063279.1,I-E,,I-E.16
201,157,WP_104545466.1,I-B,,I-B.3
202,10,WP_107355958.1,I-A,,I-A.26
203,9,NYT20054.1,Unknown,,Unknown.696
204,24,TAJ81118.1,I-A/Unknown,"I-A: 23, Unknown: 1",I-A/Unknown.4
205,109,WP_028488895.1,I-A/Unknown,"I-A: 108, Unknown: 1",I-A/Unknown.5
206,9,PCJ73328.1,Unknown,,Unknown.762
207,28,WP_185979137.1,I-A,,I-A.74
208,1,VDD88657.1,III,,III.222
209,2,WP_093428253.1,I-A,,I-A.58
210,1,WP_123103096.1,Unknown,,Unknown.798
211,2,TARA_039.SAMEA2620106.270.0.1-0.22_7976_4,Unknown,,Unknown.1086
212,17,TARA_076.SAMEA2621242.800.0.45-0.8_1500856_8,Unknown,,Unknown.1091
213,12,NOZ37294.1,Unknown,,Unknown.809
214,2,NAZ27577.1,Unknown,,Unknown.302
215,1,NLO21777.1,IV-Ykr-2,,IV-Ykr-2.138
216,1,HEY74674.1,IV-Ykr-2,,IV-Ykr-2.68
217,29,AAO14487.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 18, Unknown: 11",I-Eukaryotes/Unknown.95
218,4,NTU44655.1,IV-Photo,,IV-Photo.54
219,1,VDD88882.1,III,,III.47
220,2,VDD89187.1,III,,III.51
221,14,WP_053859447.1,IV-Non-photo,,IV-Non-photo.487
222,1,WP_091911238.1,IV-Non-photo,,IV-Non-photo.388
223,19,WP_073428745.1,IV-Non-photo/Unknown,"IV-Non-photo: 18, Unknown: 1",IV-Non-photo/Unknown.6
224,3,WP_050469458.1,IV-Non-photo,,IV-Non-photo.384
225,1,KQC10437.1,Unknown,,Unknown.169
226,2,MBA4404753.1,III/Unknown,"Unknown: 1, III: 1",III/Unknown.5
227,2,RWG04175.1,IV-Non-photo,,IV-Non-photo.546
228,1,NPV62580.1,Unknown,,Unknown.253
229,3,MRG76228.1,Unknown,,Unknown.296
230,3,WP_067326900.1,IV-Non-photo,,IV-Non-photo.151
231,1,HFZ05501.1,Unknown,,Unknown.228
232,5,WP_191124669.1,IV-Non-photo,,IV-Non-photo.372
233,22,WP_041813379.1,IV-Non-photo,,IV-Non-photo.460
234,5,WP_184168458.1,IV-Non-photo,,IV-Non-photo.108
235,5,YP003178578_Halomicrobium_mukohataei_DSM_12286,Unknown,,Unknown.1026
236,7,WP_056686873.1,IV-Non-photo,,IV-Non-photo.225
237,1,TVR70006.1,IV-Non-photo,,IV-Non-photo.98
238,61,CAJ19663.1,Ambiguous,"I-Eukaryotes: 55, Unknown: 5, I-CD: 1",Ambiguous.11
239,1,NND05845.1,IV-Non-photo,,IV-Non-photo.452
240,1,WP_084090517.1,IV-Photo,,IV-Photo.118
241,11,WP_160870463.1,IV-Non-photo,,IV-Non-photo.725
242,8,WP_067223005.1,IV-Non-photo,,IV-Non-photo.708
243,2,WP_137130022.1,IV-Non-photo,,IV-Non-photo.772
244,2,WP_041112594.1,IV-Non-photo,,IV-Non-photo.264
245,5,MBS14778.1,IV-Non-photo,,IV-Non-photo.278
246,1,HGO73122.1,IV-Non-photo,,IV-Non-photo.380
247,20,WP_180670591.1,IV-Non-photo,,IV-Non-photo.48
248,14,WP_180907573.1,IV-Non-photo,,IV-Non-photo.559
249,12,WP_128194897.1,IV-Non-photo,,IV-Non-photo.558
250,4,HGU76250.1,Unknown,,Unknown.137
251,15,MBF1747920.1,IV-DeepYkr,,IV-DeepYkr.285
252,1,TARA_110.SAMEA2622402.50.0.22-3_2354052_7,IV-GOS_Global,,IV-GOS_Global.65
253,17,TARA_031.SAMEA2619815.5.0-0.22_3691_3,IV-GOS_Global,,IV-GOS_Global.70
254,3,WP_119208539.1,IV-DeepYkr,,IV-DeepYkr.302
255,3,WP_038115757.1,IV-DeepYkr,,IV-DeepYkr.274
256,1,WP_127134780.1,IV-DeepYkr,,IV-DeepYkr.380
257,2,MBD8975199.1,IV-DeepYkr,,IV-DeepYkr.207
258,1,PYO62011.1,IV-DeepYkr,,IV-DeepYkr.89
259,1,VDD88811.1,III,,III.126
260,2,AIF31536.1,I-A,,I-A.85
261,13,QCT05616.1,I-Eukaryotes,,I-Eukaryotes.70
262,1,VDD89152.1,III,,III.235
263,7,VDD88694.1,III,,III.191
264,1,ADJ38508.1,Unknown,,Unknown.985
265,16,WP_062917843.1,I-CD,,I-CD.155
266,9,WP_007422833.1,I-CD,,I-CD.144
267,3,MBD3763266.1,I-CD,,I-CD.30
268,1,HHV22167.1,I-E,,I-E.26
269,90,IC_Bradyrhizobium_japonicum_USDA_110,I-CD,,I-CD.184
270,64,WP_013678237.1,I-E,,I-E.46
271,30,TARA_137.SAMEA2623275.5.0.22-3_1000826_2,Ambiguous,"I-B: 28, Unknown: 1, I-Eukaryotes: 1",Ambiguous.28
272,77,YP_009862972.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 73, Unknown: 4",I-Eukaryotes/Unknown.141
273,1,ABI17959.1,I-Eukaryotes,,I-Eukaryotes.29
274,37,NNJ93999.1,I-A/Unknown,"I-A: 36, Unknown: 1",I-A/Unknown.6
275,11,TARA_109.SAMEA2622362.380.0.22-3_387614_2,I-A,,I-A.107
276,3,HHS94388.1,Unknown,,Unknown.877
277,1,RTZ60953.1,Unknown,,Unknown.838
278,1,PHU19935.1,I-Eukaryotes,,I-Eukaryotes.102
279,5,WP_048058905.1,Unknown,,Unknown.347
280,12,WP_167731531.1,Unknown,,Unknown.387
281,3,KUJ93020.1,Unknown,,Unknown.383
282,2,GWA2_CP_45_12_gwa2_scaffold_895_11,IV-Photo,,IV-Photo.2
283,510,AEU04920.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 381, Unknown: 129",I-Eukaryotes/Unknown.121
284,1,RBG_13_Chloroflexi_RBG9_66_10_RBG_13_scaffold_17084_3,Unknown,,Unknown.32
285,9,VDD88834.1,IV-Photo,,IV-Photo.111
286,1,MBD3389749.1,Unknown,,Unknown.71
287,368,AAF97640.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 315, Unknown: 53",I-Eukaryotes/Unknown.99
288,110,AIC32232.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 93, Unknown: 17",I-Eukaryotes/Unknown.48
289,16,ACN71306.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 13, Unknown: 3",I-Eukaryotes/Unknown.38
290,16,WP_048123280.1,Unknown,,Unknown.273
291,13,WP_018328846.1,IV-Non-photo,,IV-Non-photo.462
292,3,WP_062011801.1,IV-Non-photo,,IV-Non-photo.367
293,3,WP_189381785.1,IV-Non-photo,,IV-Non-photo.200
294,1,TFG00367.1,Unknown,,Unknown.334
295,8,AAB99239_Methanocaldococcus_jannaschii_DSM_2661_III,Unknown,,Unknown.1023
296,3,WP_145642715.1,IV-Non-photo,,IV-Non-photo.769
297,1,WP_062228053.1,IV-Non-photo,,IV-Non-photo.714
298,1,WP_067291697.1,IV-Non-photo,,IV-Non-photo.142
299,5,OJV68446.1,IV-Non-photo,,IV-Non-photo.173
300,65,WP_125302632.1,IV-Non-photo,,IV-Non-photo.426
301,11,WP_057225901.1,IV-Non-photo,,IV-Non-photo.799
302,1,NLI62282.1,Unknown,,Unknown.562
303,2,WP_020449584.1,Unknown,,Unknown.599
304,4,WP_034834381.1,IV-Non-photo,,IV-Non-photo.696
305,4,WP_136590588.1,Unknown,,Unknown.325
306,1,WP_160906238.1,IV-Non-photo,,IV-Non-photo.324
307,7,WP_144969320.1,IV-Non-photo,,IV-Non-photo.121
308,2,RLJ05004.1,Unknown,,Unknown.289
309,2,VDS11145.1,III/Unknown,"Unknown: 1, III: 1",III/Unknown.14
310,1,HFT98502.1,Unknown,,Unknown.132
311,570,ACG68900.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 487, Unknown: 83",I-Eukaryotes/Unknown.63
312,1,WP_147704887.1,IV-DeepYkr,,IV-DeepYkr.466
313,38,AAW32176.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 25, Unknown: 13",I-Eukaryotes/Unknown.162
314,1,NLL06996.1,IV-DeepYkr,,IV-DeepYkr.31
315,3,BBD55863.1,IV-Ykr,,IV-Ykr.23
316,2,VDD88784.1,III,,III.74
317,1,WP_037110463.1,IV-DeepYkr,,IV-DeepYkr.139
318,4,WP_182746602.1,IV-DeepYkr,,IV-DeepYkr.390
319,9,WP_119018778.1,IV-DeepYkr,,IV-DeepYkr.440
320,1,OJU10907.1,IV-DeepYkr,,IV-DeepYkr.167
321,27,TARA_138.SAMEA2623350.5.0.22-3_1221682_4,IV-DeepYkr,,IV-DeepYkr.487
322,21,HCX38882.1,Unknown,,Unknown.737
323,2,HAJ36692.1,IV-DeepYkr,,IV-DeepYkr.210
324,21,TLZ11601.1,I-CD,,I-CD.34
325,2,WP_051356539.1,I-CD,,I-CD.94
326,20,WP_045583128.1,I-CD,,I-CD.146
327,12,NQW66943.1,I-CD,,I-CD.68
328,1,MSP20533.1,I-CD,,I-CD.173
329,7,YP_007476240.1,I-Eukaryotes,,I-Eukaryotes.9
330,22,YP_001936308.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 19, Unknown: 3",I-Eukaryotes/Unknown.67
331,2,WP_169207260.1,I-CD,,I-CD.8
332,7,WP_134390979.1,I-G,,I-G.14
333,12,WP_039188843.1,I-CD,,I-CD.21
334,1,KAF0167419.1,I-A,,I-A.90
335,1,PSO46349.1,I-Unclassified,,I-Unclassified.10
336,53,TARA_146.SAMEA2623673.5.0.22-3_2874915_16,Ambiguous,"I-Eukaryotes: 38, Unknown: 13, I-B: 2",Ambiguous.26
337,7,HHC72709.1,I-A,,I-A.1
338,12,WP_144326513.1,I-A,,I-A.11
339,12,WP_153975754.1,I-A,,I-A.13
340,2,KAF0233182.1,Unknown,,Unknown.807
341,4,WP_106001968.1,Unknown,,Unknown.915
342,1,TARA_137.SAMEA2623295.40.0.22-3_1214112_2,Unknown,,Unknown.1043
343,2,PHS75601.1,Unknown,,Unknown.748
344,19,AHI17663.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 18, Unknown: 1",I-Eukaryotes/Unknown.166
345,4,AAL35649.1,Unknown,,Unknown.678
346,1,VDS11140.1,II-III,,II-III.7
347,2,HCF49039.1,IV-Ykr-2,,IV-Ykr-2.111
348,1,WP_028709495.1,IV-Ykr-2,,IV-Ykr-2.150
349,6,WP_120795960.1,IV-Photo,,IV-Photo.99
350,1,WP_091487001.1,IV-NG2,,IV-NG2.22
351,3,cg_0.2_sub10_scaffold_1045_c_18,III/Unknown,"Unknown: 2, III: 1",III/Unknown.2
352,2,NNF46165.1,IV-Photo,,IV-Photo.17
353,2,WP_100002012.1,IV-Non-photo,,IV-Non-photo.155
354,1,WP_046170552.1,IV-Non-photo,,IV-Non-photo.561
355,1,MBE1375693.1,IV-Non-photo,,IV-Non-photo.477
356,1,WP_029003878.1,IV-Non-photo,,IV-Non-photo.364
357,2,WP_159992670.1,IV-Non-photo,,IV-Non-photo.423
358,3,VDD88940.1,III,,III.63
359,27,WP_141941012.1,IV-NG3,,IV-NG3.1
360,9,TARA_122.SAMEA2622673.600.0.22-3_2766393_12,IV-Non-photo,,IV-Non-photo.826
361,3,WP_129151845.1,IV-Non-photo,,IV-Non-photo.440
362,1,WP_133411553.1,IV-NG3,,IV-NG3.5
363,3,WP_006056824.1,Unknown,,Unknown.259
364,3,MBB5790147.1,IV-NG2,,IV-NG2.50
365,5,WP_161407444.1,IV-NG1,,IV-NG1.11
366,48,WP_018238284.1,IV-Non-photo,,IV-Non-photo.732
367,1,WP_133700242.1,IV-Non-photo,,IV-Non-photo.789
368,15,WP_092931761.1,Unknown,,Unknown.200
369,2,TARA_037.SAMEA2619974.600.0.1-0.22_25453_3,Unknown,,Unknown.1070
370,1,WP_086592986.1,IV-Non-photo,,IV-Non-photo.627
371,4,WP_196292650.1,IV-Non-photo,,IV-Non-photo.555
372,2,WP_012114910.1,IV-Non-photo,,IV-Non-photo.509
373,3,WP_029557713.1,IV-Non-photo,,IV-Non-photo.585
